placard_type,hazmat_class_railstate,hazmat_class_cfr,hazmat_name_cfr,hazmat_name_census,in_railstate,in_cfr,in_census,count_placard_type_railstate
UN2491,8,8,Ethanolamine or Ethanolamine solutions,Ethanolamine or Ethanolamine solutions,TRUE,TRUE,TRUE,6421
UN1219,3,3,Isopropanol or Isopropyl alcohol,Isopropanol or Isopropyl alcohol,TRUE,TRUE,TRUE,6354
UN2789,8,8,"Acetic acid, glacial or Acetic acid solution, with more than 80 percent acid, by mass","Acetic acid, glacial or Acetic acid solution, with more than 80 percent acid, by mass",TRUE,TRUE,TRUE,5809
UN1012,2.1,2.1,"Butylene see also Petroleum gases, liquefied","Butylene see also Petroleum gases, liquefied",TRUE,TRUE,TRUE,5078
UN2078,6.1,6.1,Toluene diisocyanate,Toluene diisocyanate,TRUE,TRUE,TRUE,4614
UN1055,2.1,2.1,"Isobutylene see also Petroleum gases, liquefied","Isobutylene see also Petroleum gases, liquefied",TRUE,TRUE,TRUE,4337
UN1689,6.1,6.1,"Sodium cyanide, solid","Sodium cyanide, solid",TRUE,TRUE,TRUE,3270
UN3267,8,8,"Corrosive liquid, basic, organic, n.o.s","Corrosive liquid, basic, organic, n.o.s",TRUE,TRUE,TRUE,2818
UN2693,8,8,"Bisulfites, aqueous solutions, n.o.s.","Bisulfites, aqueous solutions, n.o.s.",TRUE,TRUE,TRUE,2529
UN2448,4.1,4.1,"Sulfur, molten","Sulfur, molten",TRUE,TRUE,TRUE,2066
UN3426,6.1,6.1,Acrylamide solution,Acrylamide solution,TRUE,TRUE,TRUE,1873
UN3276,6.1,6.1,"Nitriles, liquid, toxic, n.o.s.","Nitriles, liquid, toxic, n.o.s.",TRUE,TRUE,TRUE,1733
UN2850,3,3,Propylene tetramer,Propylene tetramer,TRUE,TRUE,TRUE,1461
UN1073,2.2,2.2,"Oxygen, refrigerated liquid (cryogenic liquid)","Oxygen, refrigerated liquid (cryogenic liquid)",TRUE,TRUE,TRUE,1418
UN3414,6.1,6.1,Sodium cyanide solution,Sodium cyanide solution,TRUE,TRUE,TRUE,1362
UN1136,3,3,"Coal tar distillates, flammable","Coal tar distillates, flammable",TRUE,TRUE,TRUE,1275
UN1908,8,8,Chlorite solution,Chlorite solution,TRUE,TRUE,TRUE,1233
UN1831,8,8,"Sulfuric acid, fuming with 30 percent or more free sulfur trioxide #OR# Sulfuric acid, fuming with less than 30 percent free sulfur trioxide","Sulfuric acid, fuming with less than 30 percent free sulfur trioxide #OR# Sulfuric acid, fuming with 30 percent or more free sulfur trioxide",TRUE,TRUE,TRUE,1214
UN2031,8,8,"Nitric acid other than red fuming with not more than 20 percent nitric acid #OR# Nitric acid other than red fuming, with at least 65 percent, but not more than 70 percent nitric acid #OR# Nitric acid other than red fuming, with more than 20 percent and less than 65 percent nitric acid #OR# Nitric acid other than red fuming, with more than 70 percent nitric acid","Nitric acid other than red fuming, with at least 65 percent, but not more than 70 percent nitric acid #OR# Nitric acid other than red fuming, with more than 20 percent and less than 65 percent nitric acid #OR# Nitric acid other than red fuming with not more than 20 percent nitric acid #OR# Nitric acid other than red fuming, with more than 70 percent nitric acid",TRUE,TRUE,TRUE,1092
UN3286,3,3,"Flammable liquid, toxic, corrosive, n.o.s.","Flammable liquid, toxic, corrosive, n.o.s.",TRUE,TRUE,TRUE,1043
UN3265,8,8,"Corrosive liquid, acidic, organic, n.o.s","Corrosive liquid, acidic, organic, n.o.s",TRUE,TRUE,TRUE,1033
UN1131,3,3,Carbon disulfide,Carbon disulfide,TRUE,TRUE,TRUE,986
UN1866,3,3,"Resin Solution, flammable","Resin Solution, flammable",TRUE,TRUE,TRUE,936
UN2215,8,8,"Maleic anhydride #OR# Maleic anhydride, molten","Maleic anhydride #OR# Maleic anhydride, molten",TRUE,TRUE,TRUE,910
UN1076,2.3,2.3,Phosgene,Phosgene,TRUE,TRUE,TRUE,876
UN3463,8,8,Propionic acid with not less than 90% acid by mass,Propionic acid with not less than 90% acid by mass,TRUE,TRUE,TRUE,804
UN1819,8,8,"Sodium aluminate, solution","Sodium aluminate, solution",TRUE,TRUE,TRUE,760
UN1064,2.3,2.3,Methyl mercaptan,Methyl mercaptan,TRUE,TRUE,TRUE,756
UN1193,3,3,Ethyl methyl ketone or Methyl ethyl ketone,Ethyl methyl ketone or Methyl ethyl ketone,TRUE,TRUE,TRUE,718
UN3266,8,8,"Corrosive liquid, basic, inorganic, n.o.s","Corrosive liquid, basic, inorganic, n.o.s",TRUE,TRUE,TRUE,710
UN3287,6.1,6.1,"Toxic liquid, inorganic, n.o.s","Toxic liquid, inorganic, n.o.s",TRUE,TRUE,TRUE,597
UN1975,2.3,2.3,Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,TRUE,TRUE,TRUE,572
UN2735,8,8,"Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s","Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s",TRUE,TRUE,TRUE,519
UN1719,8,8,"Caustic alkali liquids, n.o.s.","Caustic alkali liquids, n.o.s.",TRUE,TRUE,TRUE,517
UN2903,6.1,6.1,"Pesticides, liquid, toxic, flammable, n.o.s. flash point not less than 23 degrees C","Pesticides, liquid, toxic, flammable, n.o.s. flash point not less than 23 degrees C",TRUE,TRUE,TRUE,509
UN1580,6.1,6.1,Chloropicrin,Chloropicrin,TRUE,TRUE,TRUE,496
UN1090,3,3,Acetone,Acetone,TRUE,TRUE,TRUE,483
UN1207,3,3,Hexaldehyde,Hexaldehyde,TRUE,TRUE,TRUE,460
UN3170,4.3,4.3,Aluminum smelting by-products or Aluminum remelting by-products,Aluminum smelting by-products or Aluminum remelting by-products,TRUE,TRUE,TRUE,434
UN1917,3,3,"Ethyl acrylate, stabilized","Ethyl acrylate, stabilized",TRUE,TRUE,TRUE,431
UN1778,8,8,Fluorosilicic acid,Fluorosilicic acid,TRUE,TRUE,TRUE,424
UN1070,2.2,2.2,Nitrous oxide,Nitrous oxide,TRUE,TRUE,TRUE,421
UN2057,3,3,Tripropylene,Tripropylene,TRUE,TRUE,TRUE,400
UN2304,4.1,4.1,"Naphthalene, molten","Naphthalene, molten",TRUE,TRUE,TRUE,384
UN2048,3,3,Dicyclopentadiene,Dicyclopentadiene,TRUE,TRUE,TRUE,382
UN2056,3,3,Tetrahydrofuran,Tetrahydrofuran,TRUE,TRUE,TRUE,373
UN3190,4.2,4.2,"Self-heating solid, inorganic, n.o.s","Self-heating solid, inorganic, n.o.s",TRUE,TRUE,TRUE,371
UN1078,2.2,2.2,"Refrigerant gases, n.o.s.","Refrigerant gases, n.o.s.",TRUE,TRUE,TRUE,352
UN2582,8,8,"Ferric chloride, solution","Ferric chloride, solution",TRUE,TRUE,TRUE,350
UN1663,6.1,6.1,Nitrophenols (o-; m-; p-;),Nitrophenols (o-; m-; p-;),TRUE,TRUE,TRUE,336
UN1040,2.3,2.3,Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1 MPa (10 bar) at 50 degrees C,Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1 MPa (10 bar) at 50 degrees C,TRUE,TRUE,TRUE,321
UN1924,NA,NA,NA,NA,TRUE,FALSE,FALSE,286
UN2672,8,8,"Ammonia solution, relative density between 0.880 and 0.957 at 15 degrees C in water, with more than 10 percent but not more than 35 percent ammonia","Ammonia solution, relative density between 0.880 and 0.957 at 15 degrees C in water, with more than 10 percent but not more than 35 percent ammonia",TRUE,TRUE,TRUE,284
UN3399,4.3,4.3,"Organometallic substance, liquid, water-reactive, flammable","Organometallic substance, liquid, water-reactive, flammable",TRUE,TRUE,TRUE,280
UN3415,6.1,6.1,Sodium fluoride solution,Sodium fluoride solution,TRUE,TRUE,TRUE,273
UN2209,8,8,"Formaldehyde solutions, with not less than 25 percent formaldehyde","Formaldehyde solutions, with not less than 25 percent formaldehyde",TRUE,TRUE,TRUE,270
UN1967,2.3,2.3,"Insecticide gases, toxic, n.o.s.","Insecticide gases, toxic, n.o.s. #OR# Parathion and compressed gas mixture",TRUE,TRUE,TRUE,256
UN1075,NA,2.1,"Petroleum gases, liquefied or Liquefied petroleum gas","Petroleum gases, liquefied or Liquefied petroleum gas",TRUE,TRUE,TRUE,244
UN2810,6.1,6.1,"Toxic, liquids, organic, n.o.s.","Compounds, tree killing, liquid or Compounds, weed killing, liquid #OR# Toxic, liquids, organic, n.o.s.",TRUE,TRUE,TRUE,241
UN1381,4.2,4.2,"Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or Phosphorus, yellow, in solution","Phosphorus, white dry or Phosphorus, white, under water or Phosphorus white, in solution or Phosphorus, yellow dry or Phosphorus, yellow, under water or Phosphorus, yellow, in solution",TRUE,TRUE,TRUE,237
UN3473,3,3,"Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing flammable liquids","Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing flammable liquids",TRUE,TRUE,TRUE,216
UN1035,2.1,2.1,Ethane,Ethane,TRUE,TRUE,TRUE,214
UN1267,NA,3,Petroleum crude oil,Petroleum crude oil,TRUE,TRUE,TRUE,214
UN2265,3,3,"N,N-Dimethylformamide","N,N-Dimethylformamide",TRUE,TRUE,TRUE,188
UN2818,8,8,"Ammonium polysulfide, solution","Ammonium polysulfide, solution",TRUE,TRUE,TRUE,186
UN1204,3,3,Nitroglycerin solution in alcohol with not more than 1 percent nitroglycerin,Nitroglycerin solution in alcohol with not more than 1 percent nitroglycerin,TRUE,TRUE,TRUE,182
UN1261,3,3,Nitromethane,Nitromethane,TRUE,TRUE,TRUE,180
UN1402,4.3,4.3,Calcium carbide,Calcium carbide,TRUE,TRUE,TRUE,164
UN1063,2.1,2.1,Methyl chloride or Refrigerant gas R 40,Methyl chloride or Refrigerant gas R 40,TRUE,TRUE,TRUE,160
UN3394,4.2,4.2,"Organometallic substance, liquid, pyrophoric, water-reactive","Organometallic substance, liquid, pyrophoric, water-reactive",TRUE,TRUE,TRUE,160
UN1803,8,8,"Phenolsulfonic acid, liquid","Phenolsulfonic acid, liquid",TRUE,TRUE,TRUE,158
UN1198,3,3,"Formaldehyde solutions, flammable","Formaldehyde solutions, flammable",TRUE,TRUE,TRUE,155
UN1915,3,3,Cyclohexanone,Cyclohexanone,TRUE,TRUE,TRUE,137
UN1475,5.1,5.1,Magnesium perchlorate,Magnesium perchlorate,TRUE,TRUE,TRUE,136
UN0075,1.1D,1.1D,"Diethyleneglycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass","Diethyleneglycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass",TRUE,TRUE,TRUE,134
UN1013,2.2,2.2,Carbon dioxide,Carbon dioxide,TRUE,TRUE,TRUE,133
UN2067,5.1,5.1,Ammonium nitrate based fertilizer,Ammonium nitrate based fertilizer,TRUE,TRUE,TRUE,130
UN3251,4.1,4.1,Isosorbide-5-mononitrate,Isosorbide-5-mononitrate,TRUE,TRUE,TRUE,130
UN1085,2.1,2.1,"Vinyl bromide, stabilized","Vinyl bromide, stabilized",TRUE,TRUE,TRUE,128
UN1292,3,3,Tetraethyl silicate,Tetraethyl silicate,TRUE,TRUE,TRUE,126
UN1003,2.2,2.2,"Air, refrigerated liquid, (cryogenic liquid) #OR# Air, refrigerated liquid, (cryogenic liquid) non-pressurized","Air, refrigerated liquid, (cryogenic liquid) #OR# Air, refrigerated liquid, (cryogenic liquid) non-pressurized",TRUE,TRUE,TRUE,124
UN1061,2.1,2.1,"Methylamine, anhydrous","Methylamine, anhydrous",TRUE,TRUE,TRUE,117
UN1630,6.1,6.1,Mercury ammonium chloride,Mercury ammonium chloride,TRUE,TRUE,TRUE,117
UN1547,6.1,6.1,Aniline,Aniline,TRUE,TRUE,TRUE,116
UN2475,8,8,Vanadium trichloride,Vanadium trichloride,TRUE,TRUE,TRUE,111
UN2051,8,8,2-Dimethylaminoethanol,2-Dimethylaminoethanol,TRUE,TRUE,TRUE,107
UN2075,6.1,6.1,"Chloral, anhydrous, stabilized","Chloral, anhydrous, stabilized",TRUE,TRUE,TRUE,107
UN1973,2.2,2.2,"Chlorodifluoromethane and chloropentafluoroethane mixture or Refrigerant gas R 502 with fixed boiling point, with approximately 49 percent chlorodifluoromethane","Chlorodifluoromethane and chloropentafluoroethane mixture or Refrigerant gas R 502 with fixed boiling point, with approximately 49 percent chlorodifluoromethane",TRUE,TRUE,TRUE,106
UN1071,2.3,2.3,"Oil gas, compressed","Oil gas, compressed",TRUE,TRUE,TRUE,101
UN1593,6.1,6.1,Dichloromethane,Dichloromethane,TRUE,TRUE,TRUE,99
UN1280,3,3,Propylene oxide,Propylene oxide,TRUE,TRUE,TRUE,98
UN1201,3,3,Fusel oil,Fusel oil,TRUE,TRUE,TRUE,93
UN1072,2.2,2.2,"Oxygen, compressed","Oxygen, compressed",TRUE,TRUE,TRUE,91
UN1363,4.2,4.2,Copra,Copra,TRUE,TRUE,TRUE,88
UN3175,4.1,4.1,"Solids containing flammable liquid, n.o.s.","Solids containing flammable liquid, n.o.s.",TRUE,TRUE,TRUE,87
UN1145,3,3,Cyclohexane,Cyclohexane,TRUE,TRUE,TRUE,85
UN1030,2.1,2.1,"1,1-Difluoroethane or Refrigerant gas R 152a","1,1-Difluoroethane or Refrigerant gas R 152a",TRUE,TRUE,TRUE,83
UN1302,3,3,"Vinyl ethyl ether, stabilized","Vinyl ethyl ether, stabilized",TRUE,TRUE,TRUE,80
UN3055,8,8,2-(2-Aminoethoxy) ethanol,2-(2-Aminoethoxy) ethanol,TRUE,TRUE,TRUE,80
UN1212,3,3,Isobutanol or Isobutyl alcohol,Isobutanol or Isobutyl alcohol,TRUE,TRUE,TRUE,79
UN1907,8,8,Soda lime with more than 4 percent sodium hydroxide,Soda lime with more than 4 percent sodium hydroxide,TRUE,TRUE,TRUE,77
UN1062,2.3,2.3,Methyl bromide,Methyl bromide,TRUE,TRUE,TRUE,74
UN1202,NA,3,"Diesel fuel #OR# Gas oil #OR# Heating oil, light","Diesel fuel #OR# Gas oil #OR# Heating oil, light",TRUE,TRUE,TRUE,73
UN1387,4.2,4.2,"Wool waste, wet","Wool waste, wet",TRUE,TRUE,TRUE,71
UN1888,6.1,6.1,Chloroform,Chloroform,TRUE,TRUE,TRUE,71
UN1303,3,3,"Vinylidene chloride, stabilized","Vinylidene chloride, stabilized",TRUE,TRUE,TRUE,70
UN3285,6.1,6.1,"Vanadium compound, n.o.s","Vanadium compound, n.o.s",TRUE,TRUE,TRUE,70
UN1624,6.1,6.1,Mercuric chloride,Mercuric chloride,TRUE,TRUE,TRUE,67
UN1575,6.1,6.1,Calcium cyanide,Calcium cyanide,TRUE,TRUE,TRUE,66
UN2053,3,3,Methyl isobutyl carbinol,Methyl isobutyl carbinol,TRUE,TRUE,TRUE,63
UN3413,6.1,6.1,Potassium cyanide solution,Potassium cyanide solution,TRUE,TRUE,TRUE,63
UN1123,3,3,Butyl acetates,Butyl acetates,TRUE,TRUE,TRUE,62
UN1862,3,3,Ethyl crotonate,Ethyl crotonate,TRUE,TRUE,TRUE,61
UN1276,3,3,n-Propyl acetate,n-Propyl acetate,TRUE,TRUE,TRUE,60
UN1603,6.1,6.1,Ethyl bromoacetate,Ethyl bromoacetate,TRUE,TRUE,TRUE,60
UN1503,5.1,5.1,Sodium permanganate,Sodium permanganate,TRUE,TRUE,TRUE,59
UN1052,8,8,"Hydrogen fluoride, anhydrous","Hydrogen fluoride, anhydrous",TRUE,TRUE,TRUE,57
UN1963,2.2,2.2,"Helium, refrigerated liquid (cryogenic liquid)","Helium, refrigerated liquid (cryogenic liquid)",TRUE,TRUE,TRUE,55
UN1738,6.1,6.1,Benzyl chloride #OR# Benzyl chloride unstabilized,Benzyl chloride #OR# Benzyl chloride unstabilized,TRUE,TRUE,TRUE,54
UN1779,8,8,Formic acid with more than 85% acid by mass,Formic acid with more than 85% acid by mass,TRUE,TRUE,TRUE,54
UN3017,6.1,6.1,"Organophosphorus pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C","Organophosphorus pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",TRUE,TRUE,TRUE,54
UN3476,4.3,4.3,"Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing water-reactive substances","Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing water-reactive substances",TRUE,TRUE,TRUE,54
UN1093,3,3,"Acrylonitrile, stabilized","Acrylonitrile, stabilized",TRUE,TRUE,TRUE,53
UN3071,6.1,6.1,"Mercaptans, liquid, toxic, flammable, n.o.s. or Mercaptan mixtures, liquid, toxic, flammable, n.o.s., flash point not less than 23 degrees C","Mercaptans, liquid, toxic, flammable, n.o.s. or Mercaptan mixtures, liquid, toxic, flammable, n.o.s., flash point not less than 23 degrees C",TRUE,TRUE,TRUE,53
UN3205,4.2,4.2,"Alkaline earth metal alcoholates, n.o.s","Alkaline earth metal alcoholates, n.o.s",TRUE,TRUE,TRUE,53
UN3479,2.1,2.1,"Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing hydrogen in metal hydride","Fuel cell cartridges or Fuel cell cartridges contained in equipment or Fuel cell cartridges packed with equipment, containing hydrogen in metal hydride",TRUE,TRUE,TRUE,53
UN1175,3,3,Ethylbenzene,Ethylbenzene,TRUE,TRUE,TRUE,52
UN3470,8,8,"Paint related material corrosive, flammable (including paint thinning or reducing compound) #OR# Paint, corrosive, flammable (including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler, and liquid lacquer base)","Paint, corrosive, flammable (including paint, lacquer, enamel, stain, shellac, varnish, polish, liquid filler, and liquid lacquer base) #OR# Paint related material corrosive, flammable (including paint thinning or reducing compound)",TRUE,TRUE,TRUE,52
UN3489,6.1,6.1,"Toxic by inhalation liquid, flammable, corrosive, n.o.s. with an LC50 lower than or equal to 1000 ml/m3 and saturated vapor concentration greater than or equal to 10 LC50","Toxic by inhalation liquid, flammable, corrosive, n.o.s. with an LC50 lower than or equal to 1000 ml/m3 and saturated vapor concentration greater than or equal to 10 LC50",TRUE,TRUE,TRUE,51
UN1173,3,3,Ethyl acetate,Ethyl acetate,TRUE,TRUE,TRUE,49
UN1992,3,3,"Flammable liquids, toxic, n.o.s.","Flammable liquids, toxic, n.o.s.",TRUE,TRUE,TRUE,49
UN3495,8,8,Iodine,Iodine,TRUE,TRUE,TRUE,49
UN1869,4.1,4.1,"Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings or ribbons","Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings or ribbons",TRUE,TRUE,TRUE,48
UN1080,2.2,2.2,Sulfur hexafluoride,Sulfur hexafluoride,TRUE,TRUE,TRUE,47
UN3145,8,8,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)","Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",TRUE,TRUE,TRUE,47
UN3159,2.2,2.2,"1,1,1,2-Tetrafluoroethane or Refrigerant gas R 134a","1,1,1,2-Tetrafluoroethane or Refrigerant gas R 134a",TRUE,TRUE,TRUE,47
