"Title","AccidentDate","GeolocationLatitude","GeolocationLongitude","NTSB_InvestigationStatus","NTSB_Title","WhatHappened","WhatWeFound","WhatWeRecommended","IIC","LessonsLearned","InvestigativeDetailVideo1","InvestigativeDetailVideo2","InvestigativeDetailVideo3","InvestigativeDetailVideo4","InvestigativeDetailVideo1Title","InvestigativeDetailVideo2Title","InvestigativeDetailVideo3Title","InvestigativeDetailVideo4Title","RelatedSafetyAlert","Month","Day_Of_Week","Time_Of_Day"
"Passenger Fatality on the Long Island Rail Road",2018-04-05 04:00:00,"40.6559765","-73.6777734","Closed",NA,"​On April 5, 2018, about 8:00 p.m. eastern daylight time, a passenger who was walking eastward on the Long Island Rail Road (LIRR) Lynbrook Station platform came into contact with the side of LIRR train 884. Subsequently, the passenger contacted the side of the train and was dragged and killed by the train as it was leaving the station.1 (See figure 1.) The accident happened in Lynbrook, New York, on the LIRR Long Beach Branch. At the time of the accident, it was dark, the sky was clear, the wind was from the south at 19 mph, and the temperature was 42°F.","<p>​We&#160;determined&#160;that the probable cause of the accident was the failure of the passenger to recognize that the departing train was moving as he walked on the station platform. Contributing to the cause of the accident was the high level of alcohol in the passenger at the time of the accident.​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Thu",0-01-01 20:00:00
"CSX Transportation Railway Maintenance Machine Operator Fatality",2018-03-12 04:00:00,"35.5280959","-86.3356683","Closed",NA,"​On March 12, 2018, about 2:15 p.m. local time, a CSX Transportation (CSX) equipment operator was fatally injured while working with a CSX model BR-201202 ballast regulator (roadway maintenance machine) on the main track near Wartrace, Tennessee, on the CSX Chattanooga Subdivision. The CSX manager of work equipment was traveling on the highway in the area when he saw the ballast regulator operator climb into the ballast regulator cab. Shortly thereafter, he heard a radio transmission from the operator reporting a problem with a proximity switch on the ballast regulator. The manager drove toward the ballast regulator to assist the operator and saw him under the east ballast regulator wing. The operator died at the scene.","<p>​We determined that the probable cause of this accident was the ballast regulator operator’s attempt to repair the machine without powering it off and using lockout/tagout procedures, which re-established the electrical connection to the proximity sensor, allowing the machine to move and strike the operator while he was out of the cab, resulting in his death.​<br></p>","<p>​We ma​de recommendations to the Federal Railroad Administration, CSX Transportation and the American Railway Engineering and Maintenance-of-Way Association.<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Mon",0-01-01 14:15:00
"Amtrak Passenger Train Head-on Collision with Stationary CSX Freight Train",2018-02-04 05:00:00,"33.9524351","-81.1585086","Closed",NA,"​On February 4, 2018, at 2:27 a.m. local time, southbound Amtrak (National Railroad Passenger Corporation) train P91 (P91), operating on a track warrant, diverted from the main track through a reversed hand-throw switch into a track and collided head-on with stationary CSX Transportation Corporation (CSX) local freight train F777. The accident occurred on the CSX Florence Division, Columbia Subdivision in Cayce, South Carolina. At the time of the accident, it was dark, and the sky was cloudy. The temperature was 40°F, and there was light wind from the east.","<p>​We determined&#160;the probable cause of this collision of trains was the failure of the CSX Transportation Corporation to assess and mitigate the risk associated with operating through a signal suspension, which eliminated system redundancy for detecting a switch in the wrong position. The CSX Transportation Corporation conductor failed to properly reposition the switch for the main track, which allowed National Railroad Passenger Corporation (Amtrak) train P91 to be routed onto the Silica Storage track where the standing CSX train F777 was located. Contributing to the accident was the Federal Railroad Administration’s failure to implement effective regulation to mitigate the risk of misaligned switch accidents. Also contributing to the accident was National Railroad Passenger Corporation’s (Amtrak) failure to conduct a risk assessment prior to operating during a signal suspension.​​<br><br></p>","<p>​We ma​de new recommendations to the CSX Transportation Corporation and to All Host Railraods and reiterated recommendations to the Federal Railraod Administration and to Amtrak. We reclassified previously issued recommendations to the teh Federal Railroad Administration.<br></p>",NA,NA,"https://youtu.be/ZpLryKPwM7o",NA,NA,NA,"Board Meeting (7/23/2019)",NA,NA,NA,NA,2,"Sun",0-01-01 02:27:00
"Amtrak Passenger Train 501 Derailment",2017-12-18 05:00:00,"47.0991818","-122.6992508","Closed",NA,"​On December 18, 2017, at 7:34 a.m. Pacific standard time, southbound Amtrak (National Railroad Passenger Corporation) passenger train 501, consisting of 10 passenger railcars, a power railcar, a baggage railcar, and a locomotive at either end, derailed from a bridge near DuPont, Washington. When the train derailed, it was on its first revenue service run on a single main track (Lakewood Subdivision) at milepost 19.86. There was one run for special guests the week before the accident. Several passenger railcars fell onto Interstate 5 and hit multiple highway vehicles. At the time of the accident, 77 passengers, 5 Amtrak employees, and a Talgo, Inc., technician were on the train. Of these individuals, 3 passengers were killed, and 57 passengers and crewmembers were injured. Additionally, 8 individuals in highway vehicles were injured. The damage is estimated to be more than $25.8 million.See the photos on Flickr","<p>We ​​determined&#160;that the probable cause of the Amtrak 501 derailment was Central Puget Sound Regional Transit Authority’s failure to provide an effective mitigation for the hazardous curve without positive train control in place, which allowed the Amtrak engineer to enter the 30-mph curve at too high of a speed due to his inadequate training on the territory and inadequate training on the newer equipment. Contributing to the accident was the Washington State Department of Transportation’s decision to start revenue service without being assured that safety certification and verification had been completed to the level determined in the preliminary hazard assessment. Contributing to the severity of the accident was the Federal Railroad Administration’s decision to permit railcars that did not meet regulatory strength requirements to be used in revenue passenger service, resulting in (1) the loss of survivable space and (2) the failed articulated railcar-to-railcar connections that enabled secondary collisions with the surrounding environment causing severe damage to railcar-body structures which then failed to provide occupant protection resulting in passenger ejections, injuries, and fatalities.​&#160;​</p>","<p>​​​We&#160;made&#160;safety recommendations to the United States Secretary of Transportation, the Federal Railroad Administration, United States Department of Defense Fire and Emergency Services Working Group, the Washington State Department of Transportation, the Oregon Department of Transportation, National Railroad Passenger Corporation (Amtrak), and the Central Puget Sound Regional Transit Authority. The National Transportation Safety Board also reiterates four recommendations to the Federal Railroad Administration and reclassifies three recommendations to the Federal Railroad Administration.<br></p>",NA,NA,"https://youtu.be/EgLgl_ybtok",NA,NA,NA,"Board Meeting",NA,NA,NA,NA,12,"Mon",0-01-01 07:34:00
"Union Pacific Railroad Derailment and Employee Fatality",2017-09-22 04:00:00,"32.7015525","-97.4059983","Closed",NA,"​On September 22, 2017, about 11:06 a.m., local time, Union Pacific Railroad (UP) train Y-GW51R-22 derailed during a coupling operation in the UP Great Southwestern (GSW) Yard inArlington, Texas. At the time, a helper controlled the train remotely from the rearcar. A foreman was positioned on the lead locomotive of the train and maintained radiocommunication with the helper. As the train traveled in reverse through a switch at a speed of 8 mph to couple with eight cars on track 001, the train’s emergency brakes activated, and a “mandown broadcast message” went out over the railroad radio. The foreman attempted to radio thehelper. After receiving no response, he went to the rear of the train and saw that a car had derailedand that the helper was between the third and fourth cars of the train. The foremansaid he made an emergency call on the radio requesting help and for someone to call 911. Thehelper died from injuries sustained during the accident.","<p>​We determined&#160;that the probable cause of the switching employee fatality was a single car derailment caused by a loose, improperly fastened rail joint, which allowed the car’s wheel to climb the mismatched rail. Contributing to the accident was the designation of the accident track as excepted track under the current FRA Track Safety Standards, which allowed inadequate track conditions to exist on track used regularly.​​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Fri",0-01-01 11:06:00
"Southeastern Pennsylvania Transportation Authority Light Rail Vehicle Collision",2017-08-22 04:00:00,"39.9633","-75.259422","Closed",NA,"​On August 22, 2017, about 12:11 a.m. local time, a southbound Southeastern Pennsylvania Transportation Authority (SEPTA) single light-rail passenger car (car 155) carrying 42 passengers on the Norristown High Speed Line (NHSL) collided with another SEPTA single light-rail passenger car (car 148), which was unoccupied and stopped at passenger platform 1 of the 69th Street Transportation Center station (69th Street station) in Upper Darby, Pennsylvania. The 43 persons on board car 155, including the operator, suffered non-life-threatening injuries and were transported to local medical facilities. Both cars remained on the rails and upright. SEPTA estimated the damage to the equipment to be $331,680. The weather at the time of the accident was 79°F with light rain.","<p>The probable cause of this accident was an intermittent anomaly in the braking system of car 155 that degraded its stopping performance on approach to the 69th Street Transportation Center station, resulting in the collision with car 148.​​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Tue",0-01-01 00:11:00
"CSX Train Derailment with Hazardous Materials Release",2017-08-02 04:00:00,"39.826367","-78.72205","Closed",NA,"​On August 2, 2017, at 4:54 a.m., local time, 33 rail cars on CSX Transportation, Inc. (CSX) train Q38831 derailed in Hyndman Borough, Bedford County, Pennsylvania. The train consisted of 5 locomotives and a total of 178 cars (128 loaded and 50 empty), including derailed cars 53 through 65. Three derailed tank cars containing hazardous materials were breached, resulting in a fire. Three homes were damaged by the derailment and subsequent fire. There was no loss of life or injuries. A 1-mile radius evacuation zone was established, which affected about 1,000 residents, and several highway-railroad grade crossings were closed. The evacuation was lifted about 12:00 p.m. on August 5. CSX reported $1.8 million in damages for the derailed equipment and $60,000 in damages to the track structure.​See the photos on Flickr","<p>​We&#160;determined&#160;the probable cause of the accident was the inappropriate use of hand brakes on empty rail cars to control train speed and the placement of blocks of empty rail cars at the front of the train consist, leading to elevated longitudinal forces and increased lateral forces at the wheel-rail interface at the curve in the rail on the leading 42 cars combined with tread buildup on the 35th car, which was the first to derail. Contributing to the derailment were CSX operating practices that accepted the use of hand brakes on empty rail cars to control train speed and allowed blocks of empty rail cars to be placed at the front of the train consist.​<br></p>","<p>​We made recommendations to the Federal Railraod Administration, CSX Transportation, The Association of American Railroads and to the Security and Emergency Response Training Center.<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Wed",0-01-01 04:54:00
"CSX Transportation Employee Fatalities at Ivy City",2017-06-27 04:00:00,"38.893709","-77.0847869","Closed",NA,"​​On June 27, 2017, at 11:18 p.m. eastern daylight time, two CSX Transportation (CSX) employees (conductor and conductor trainee) were struck and killed by southbound Amtrak (National Railroad Passenger Corporation) train P175 at Amtrak milepost (MP) 134.5 in Ivy City, a small neighborhood in Northeast Washington, DC. The two employees were on the track walking toward the front of their southbound train after inspecting a railcar with elevated temperature reported by a track-side detector. Their backs were to the approaching southbound Amtrak train when they were struck. At the time of the accident, the sky was clear; visibility was 10 miles, and the temperature was 64°F. Additional ambient lighting was provided by a nearby Amtrak maintenance yard.​​","<p>​​We determin​ed that the probable cause of the accident was the CSX Transportation train Q137 crew’s decision to walk near an active track without protection. Contributing to the accident was their focus on northbound Amtrak train P66 and their failure to realize Amtrak train P175 was approaching them from behind.<br></p>","<p>​We&#160;made a recommendation to&#160;CSX Transportation and the National Railroad Passenger Corporation.​​​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/advocacy/safety-alerts/Documents/SA-078.pdf",6,"Tue",0-01-01 23:18:00
"Long Island Rail Road Roadway Worker Fatality",2017-06-10 04:00:00,"40.7155268","-73.7586676","Closed",NA,"​On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road train 7623 on track 3 approached a five-member crew of roadway workers at the interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks, keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a disc that told the locomotive engineer to sound the train’s horn. The locomotive engineer then sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact.","<p>The probable cause of the accident was Long Island Rail Road’s decision to use train approach warning to protect the roadway workers on active tracks. Contributing to the accident was Long Island Rail Road’s and the International Association of Sheet Metal, Air, Rail and Transportation Workers’ allowance of overtime work schedules without properly considering and mitigating workers’ risk of fatigue.<br></p>","<p>​We made recommendations to the Federal Railroad Administration​, the Metropolitan Transportation Authority​, and&#160;the International Association of Sheet Metal, Air, Rail and Transportation Workers. Previous recommendations to the Metropolitan Transportation Authority​.​​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Sat",0-01-01 10:12:00
"Derailment of Metro-North Railroad Commuter Train",2017-05-18 04:00:00,"40.9459277","-73.6993178","Closed",NA,"​On May 18, 2017, at 4:56 p.m. eastern daylight time, westbound Metro-North Railroad (Metro-North) commuter train 1373 derailed at milepost (MP) 24.55 near catenary bridge 215 on main track 3 of the Metro-North New Haven Line in Rye, New York. Train 1373 originated from Stamford, Connecticut, and was destined for Grand Central Terminal in Manhattan, New York, when 5 of the 12 cars in the consist derailed. Train 1373 had 185 passengers, of which 12 passengers suffered minor injuries. Four crewmembers (one conductor and three assistant conductors) also reported minor injuries.
At the time of the accident, the National Weather Service reported wind from the west at about 17 mph, visibility unrestricted at 10 miles, temperature of 93°F, and dew point 63°F. No precipitation had been reported during the previous 24 hours; the high temperature was 94°F, and the low temperature was 71°F. Above normal temperatures were reported on May 17 and 18, 2017.","<p>​We determined&#160;that the probable cause of this derailment was the engineer of Metro-North Railroad commuter train 1373 failing to remember the 10-mph temporary speed restriction and operating his train at 55.9 mph into a 10-mph speed-restricted area. Contributing to the accident was the engineer’s failure to communicate the temporary speed restriction to the conductor who could have reminded the train engineer of the upcoming speed restriction. Also contributing to the accident was the lack of a fully operational positive train control system, which would have stopped the train in advance of the speed-restricted area.​<br></p>","<p>​We made recommendations to the Metro-North Railroad.<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Thu",0-01-01 16:56:00
"Derailment and Hazardous Materials Release of Union Pacific Railroad Unit Ethanol Train",2017-03-10 05:00:00,"43.2365727","-94.7595717","Closed",NA,"On March 10, 2017, about 12:50 a.m., central standard time, eastbound Union Pacific Railroad (UP) unit ethanol train, UEGKOT-09, with 3 locomotives, 98 loaded tank cars, and 2 buffer cars filled with sand derailed near milepost (MP) 56.8 at a timber railroad bridge on the Estherville Subdivision, near Graettinger, Iowa. Twenty loaded tank cars in positions 21 through 40 derailed. Fourteen of the derailed tank cars released about 322,000 gallons of undenatured ethanol, fueling a postaccident fire. The accident occurred near Jack Creek, a tributary of the Des Moines River. There were no injuries and three nearby homes were evacuated. About 400 feet of railroad track and a 152-foot railroad bridge were destroyed in the accident. UP estimated damages at $4 million. At the time of the accident, the wind was from the northwest at 17 mph gusting to 30 mph, visibility was 10 miles, and the temperature was 10°F. Figure 1 shows an aerial view of the accident.","<p>We determined&#160;that the probable cause of the derailment was a broken rail that occurred as the train was traveling over the west approach of the Jack Creek Bridge resulting from Union Pacific Railroad’s inadequate track maintenance and inspection program and the Federal Railroad Administration’s inadequate oversight of the application of federal track safety standards. Contributing to the consequences of this accident was the continued use of US Department of Transportation Specification-111 tank cars.<br></p>","<p>​We made new recommendations to the Federal Railroad Administration, the Pipeline and Hazardous Materials Safety Administration and to Union Pacific Railroad and reiterated a recommendation to the Pipeline and Hazardous Materials Safety Administration.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Fri",0-01-01 00:50:00
"Southeastern Pennsylvania Transportation Authority Light Rail Collisions, Upper Darby, Pennsylvania",2017-02-21 05:00:00,"39.962646","-75.261491","Closed",NA,"​On February 21, 2017, at 8:03 a.m. eastern standard time, Southeastern Pennsylvania Transportation Authority (SEPTA) light-rail passenger train 57 (train 57), traveling westbound on the Market-Frankford Line, entered the number 2 loop track at the 69th Street Transportation Center located in Upper Darby, Pennsylvania, and struck stopped SEPTA light-rail passenger train 67 (train 67) on the number 2 loop track. The collision and associated derailment also caused train 67 to strike SEPTA light-rail train 51 (train 51), which was operating in the opposite direction on the adjacent number 1 loop track. Train 57 was traveling about 14 mph at the time of the collision. Four people were injured (two passengers and two car operators) and transported by emergency responders to local medical facilities for treatment. The total estimated equipment damage to all involved light-rail equipment was $1.6 million. At the time of the accident, the sky was clear, the wind was from the northeast at 6 mph, the visibility was 10 miles, and the temperature was 37° F.","<p>​We&#160;determined&#160;that the probable cause of this accident was the temporary loss of awareness and lack of proper speed control by the train 57 operator as the train entered the 69th Street station loop track.​<br></p>","<p>​We made recommendations to the Federal Transit Administration and to SEPTA.<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tue",0-01-01 08:03:00
"BNSF Railway Roadway Worker Fatalities",2017-01-17 05:00:00,"43.2978892","-103.8388963","Closed",NA,"​​On January 17, 2017, about 10:09 a.m. mountain standard time, BNSF Railway westbound train E DOLEBM0 01E, traveling at 35 mph, struck and killed two roadway workers, including the watchman/lookout. The accident occurred at milepost 477, on the Black Hills subdivision, in Edgemont, South Dakota. The three-member roadway work group had been cleaning snow and ice from the track switch on the main track to prepare for the movement of a train that was to have its air brake system tested in a stationary test on the main track. The crew of the striking train sounded the train horn and bell, and both members of the train crew applied emergency braking; however, there was no response from the roadway work group, and the train was unable to stop before reaching the work location. At the time of the accident, the sky was clear, the wind was calm, and reported temperatures ranged from 13° to 18°F.The accident occurred in the west leg of the Deadwood wye switch. Train movements on the main tracks in this area are controlled by centralized traffic control and governed by operating rules, general orders, timetable instructions, and the signal indications of an absolute block system.
The Black Hills subdivision consisted of two main tracks. The maximum operating speed was 35 mph between milepost 476.1 and milepost 477.0 on both main tracks. About 20 eastbound and 20 westbound trains per day operated on the main tracks through the accident area. There were multiple main tracks in this area with eastbound trains typically operating on main track 2 and westbound trains operating on main track 1. ","<p>​The probable cause of the accident was the improper use of train approach warning by the BNSF Railway roadway work group to provide on-track safety. Contributing to the accident was incorrect information provided in the job briefing, including a miscalculated sight-distance assessment. Also contributing to the accident was the failure of BNSF Railway to provide the watchman/lookout with the necessary equipment to alert the work group of oncoming trains and equipment. Further contributing to the accident was the Federal Railroad Administration’s inconsistent enforcement of federal regulations requiring that railroads equip watchman/lookouts.​<br></p>","<p>​We made recommendations to the Federal Railroad Administration​&#160;​and to BNSF Railway.​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/advocacy/safety-alerts/Documents/SA-066.pdf",1,"Tue",0-01-01 10:09:00
"Southeastern Pennsylvania Transportation Authority Trolley Collision",2017-01-04 05:00:00,"40.0024133","-75.2584533","Closed",NA,"​​On January 4, 2017, at 12:47 p.m. eastern standard time, Southeastern Pennsylvania Transportation Authority (SEPTA) trolley 9101 (struck trolley), traveling northwest on trolley route 10 with an estimated 47 passengers on board, stopped near the intersection of Lancaster Avenue and 38th Street, in Philadelphia, Pennsylvania, to offload passengers. SEPTA trolley 9085 (striking trolley), with 6 passengers on board, was also traveling northwest on trolley route 10, and struck stopped SEPTA trolley 9101 in the rear at an estimated impact speed of 10 mph. First responders transported 40 passengers and both operators to local hospitals for treatment of minor injuries. The total estimated equipment damage to both trolleys was $60,000. At the time of the accident, the sky was partly cloudy, visibility was 10 miles, and the temperature was 54°F.","<p>We determined&#160;that the probable cause of this accident was the failure of the operator of the striking trolley to slow and stop his trolley before colliding with the stopped trolley because of his impairment from fatigue and the sedating effects of the repeated doses of over-the-counter antihistamine diphenhydramine. Contributing to the operator’s fatigue was his illness, which negatively affected his medical fitness for duty.​<br></p>","<p>​We made a recommendation to the American Public Transportation Association.<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/advocacy/safety-alerts/Documents/SA-063.pdf",1,"Wed",0-01-01 12:47:00
"Derailment of Long Island Railroad passenger train in Brooklyn, NY",2017-01-04 05:00:00,"40.645353","-74.015209","Closed",NA,"On, January 4, 2017, about 8:18 a.m. eastern standard time, Long Island Rail Road (LIRR) passenger train 2817, consisting of six cars, collided with the platform at the end of track 6 in the Atlantic Terminal in Brooklyn (a borough of New York City, New York). The lead end of the lead car came to rest on top of the concrete platform at the end of the track. As result of this accident, 108 people were injured. Damage was estimated at $5.3 million. The accident occurred inside the terminal and was not affected by the weather.","<p>​We determined the probable cause of the Brooklyn, New York, accident was that the engineer of Long Island Rail Road train 2817 fell asleep due to his chronic fatigue. Contributing to his chronic fatigue was the engineer’s severe undiagnosed obstructive sleep apnea, and Long Island Rail Road’s failure to initiate obstructive sleep apnea screening for safety-sensitive personnel and refer at-risk safety-sensitive personnel for definitive obstructive sleep apnea testing and treatment before the accident. Further contributing to the accident was the Federal Railroad Administration’s failure to require railroads to medically screen employees in safety-sensitive positions for obstructive sleep apnea and other sleep disorders. Also contributing to the accident was the lack of either a device or a safety system that could have intervened to stop the train before the collision.​​<br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Wed",0-01-01 08:18:00
"New York City Transit Train Strikes Two Flagmen",2016-11-03 04:00:00,"40.6452227","-74.0152085","Closed",NA,"​On November 3, 2016, at 12:05 a.m. eastern daylight time, New York City Transit (NYCT) subway train 2328G, operating underground in a tunnel between the Fort Hamilton Parkway and Church Avenue stations, struck two NYCT employees on the F Line in Brooklyn, New York.​ The employees were setting up flagging protection for a contractor who needed to cross the track to access an instrument control room in the tunnel. One employee was killed, and one was seriously injured. After the accident, 23 passengers were evacuated while the crew remained with the train. The transit equipment and the track structure did not sustain any damage.","<p>We determined&#160;that the probable cause of the accident was the failure of the Rail Control Center to communicate to the train dispatcher and tower operator that flaggers were on the track. Also contributing to the accident is New York City Transit’s absence of a risk assessment when planning its flagging operations and permitting train movements into unprotected work zones.​<br></p>","<p>​We ma​de recommendations to the Metropolitan Transportation Authority for New York City Transit.<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Thu",0-01-01 00:05:00
"Crash of NJ Transit commuter train",2016-09-29 04:00:00,"40.7421","-74.02357","Closed",NA,"On September 29, 2016, about 8:38 a.m. eastern daylight time, New Jersey Transit (NJT) train 1614 failed to stop, overrode a bumping post at the end of track 5, and struck a wall of the Hoboken Terminal in Hoboken, New Jersey. Train 1614 consisted of one controlling passenger car (cab car), three passenger cars, and one locomotive at the rear of the train. The train was traveling about 21 mph at the time of the accident.
About 250 passengers and 3 crewmembers (engineer, passenger car conductor, and assistant conductor) were on the train. One person on the passenger platform was struck by falling debris and died; 110 passengers and crewmembers were injured. Total damage to the train, track, and facility is estimated at $6 million. At the time of the accident, the sky was overcast, an 18-mph wind was coming from the northeast, and the temperature was 63​​​F.​","<p>​​​We determined that the probable cause of the Hoboken, New Jersey, accident was the failure of New Jersey Transit train 1614’s engineer to stop the train after entering Hoboken Terminal due to the engineer’s fatigue resulting from his undiagnosed severe obstructive sleep apnea. Contributing to the accident was New Jersey Transit’s failure to follow its internal obstructive sleep apnea screening guidance and refer at-risk safety-sensitive personnel for definitive obstructive sleep apnea testing and treatment. Further contributing to the accident was the Federal Railroad Administration’s failure to require railroads to medically screen employees in safety-sensitive positions for obstructive sleep apnea and other sleep disorders. Also contributing to the accident was the lack of either a device or safety system that could have intervened to stop the train before the collision.&#160;&#160;<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Thu",0-01-01 08:38:00
"Derailment of WMATA Metrorail Train in Interlocking",2016-07-29 04:00:00,"38.88593","-77.157139","Closed",NA,"​​On July 29, 2016, about 6:14 a.m. eastern daylight time, outbound (westbound)Washington Metropolitan Area Transit Authority (WMATA) Metrorail train 602 derailed while traversing a crossover in the East Falls Church interlocking, operating on the Silver Line in Falls
Church, Virginia. About 63 passengers were on board the six-car passenger train, all of whom were evacuated out of the lead car, assisted by the Metro Transit Police Department. Three passengers reported injuries, including one who was hospitalized.     ","<p>​We&#160;determined&#160;that the probable cause of this 
accident was a wide track gage condition resulting from the sustained use of deteriorating wooden 
crossties due to Washington Metropolitan Area Transit Authority’s ineffective inspection and 
maintenance practices and inadequate safety oversight.<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Fri",0-01-01 06:14:00
"South Florida Regional Transportation Authority Highway-Rail Grade Crossing Collision",2016-07-06 04:00:00,"26.700962","-80.062352","Closed",NA,"​​On July 6, 2016, about 9:59 a.m. eastern daylight time, northbound Amtrak SilverMeteor train P09806 (train), operating on the South Florida Regional Transportation Authority (SFRTA) track, struck a 2004 white 4-door Mercury Sable (automobile) at the 25th Street highway-rail grade crossing (crossing) in West Palm Beach, Florida. At the time of the collision, a VTMI signal employee was working in the crossing warning system bungalow. The event recorder in the bungalow recorded a 1-second warning before the collision. The automobile driver was seriously injured.​​The train was en route from Miami, Florida, to New York, New York. The train did 
not derail. The train crewmembers and passengers were not injured. The damages to the train 
were estimated at $16,300; the automobile was a total loss. At the time of the accident, the 
sky was clear, the visibility was 10 miles, and the temperature was 88°F.      ","<p>​​We determined&#160;that the probable cause of the accident was the failure of the VTMI signal inspector to provide for the safety of train movements and highway users prior to disabling the highway-rail grade crossing warning system at the 25th Street highway-rail grade crossing while performing tests. Contributing to the accident was the failure of the South Florida Regional Transportation Authority and VTMI management to ensure proper procedures were followed during testing to provide for the safety of the train movements and the highway users.&#160; &#160;​</p><p><br></p>","<p>​We&#160;made a​ recommendation to the South Florida Regional Transportation Authority and to VTMI.&#160;</p><p><br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Wed",0-01-01 09:59:00
"BNSF Railway Head-On Collision",2016-06-28 04:00:00,"35.326792","-101.361616","Closed",NA,"On June 28, 2016, at 8&#58;21 a.m. central daylight time, eastbound BNSF Railway (BNSF) train S LACLPC1-26K (striking train) collided with BNSF train Q CHISBD6 27L (westbound train) at milepost (MP) 525.4 on the BNSF Panhandle Subdivision near Panhandle, Texas. The collision occurred about 0.5 mile east of the east switch of the Panhandle siding. A significant fire resulted from the collision. The locomotive engineer and conductor on the striking train and the conductor on the westbound train died in the accident. The three head-end locomotives and 10 intermodal cars of the striking train derailed. All five head-end locomotives and three intermodal cars of the westbound train derailed.","<p>​​We determined&#160;that the probable cause of the&#160;collision was the failure of the striking train (S-LACLPC1-26K) crewmembers to comply with signal indications requiring them to slow and stop their train before signal 5261 due to (1) the engineer’s disengagement from operating, possibly due to fatigue arising from untreated obstructive sleep apnea, and insufficient sleep quality and quantity on the night preceding the collision, and (2) the conductor’s disengagement from operating, possibly due to the effects of two sedating medications. A functional positive train control system would have prevented the collision.​​</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Tue",NA
"Amtrak Train Collision with Maintenance-of-Way Equipment",2016-04-03 04:00:00,"39.8489035","-75.3937896","Closed",NA,"​​On April 3, 2016, about 7:50 a.m. eastern daylight time, southbound Amtrak train 89 (train 89) struck a backhoe with a worker inside at milepost 15.7 near Chester, Pennsylvania. The train was authorized to operate on main track 3 (track 3) at the maximum authorized speed of 110 mph. Beginning on the morning of April 1, Amtrak had scheduled track-bed restoration―ballast vacuuming—at milepost 15.7 on track 2 on the Philadelphia to Washington Line. Track 2 had to be taken out of service between control points Baldwin (milepost 11.7) and Hook (milepost 16.8) for the 55-hour duration of the project. As train 89 approached milepost 15.7, the locomotive engineer saw equipment and workers on and near track 3 and initiated an emerg​​ency brake application. The train speed was 106 mph before the emergency brake application and 99 mph when it struck the backhoe. Two roadway workers were killed, and 39 other people were injured. Amtrak estimated property damages to be $2.5 million.","<p>​The probable cause of the accident was the unprotected fouled track that was used to route a passenger train at maximum authorized speed; the absence of supplemental shunting devices, which Amtrak required but the foreman could not apply because he had none; and the inadequate transfer of job site responsibilities between foremen during the shift change that resulted in failure to clear the track, to transfer foul time, and to conduct a job briefing. Allowing these unsafe actions to occur were the inconsistent views of safety and safety management throughout Amtrak’s corporate structure that led to the company’s deficient system safety program that resulted in part from Amtrak’s inadequate collaboration with its unions and from its failure to prioritize safety. Also contributing to the accident was the Federal Railroad Administration’s failure to require redundant signal protection, such as shunting, for maintenance-of-way work crews who depend on the train dispatcher to provide signal protection, prior to the accident.​<br></p>","<p>We made safety recommendations to the Federal Railroad Administration, Amtrak, Brotherhood of Maintenance of Way Employes Division, American Railway and Airway Supervisors Association, Brotherhood of Locomotive Engineers and Trainmen, and Brotherhood of Railroad Signalmen. The National Transportation Safety Board also reiterates a recommendation to the Federal Railroad Administration.​​<br><br></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Sun",0-01-01 07:50:00
